Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Country	Continent	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG000303721	MAG	1489810	89	29098	39.28	97.7	0	93.28	0	71.52	20	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera hutchinsoni
MGYG000303722	MAG	2566982	46	161511	42.38	97.14	0	0	0	0	19	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000303723	MAG	1508525	15	180471	43.17	95.3	0.61	0	0	0	19	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303724	MAG	886791	21	56305	38.96	51.55	0	0	0	0	17	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303725	MAG	1072604	106	13967	39.9	81.04	0.29	0	0	0	11	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii
MGYG000303726	MAG	1623987	25	177317	40.44	98.59	0	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303727	MAG	1586965	8	372980	41.95	100	0.09	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium swidsinskii
MGYG000303728	MAG	1587550	16	190674	42.18	100	2.27	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000303729	MAG	1588748	15	183304	46.63	100	0	0	0	0	20	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera lornae
MGYG000303730	MAG	2290326	65	51647	49.45	97.96	0.34	94.96	0	99.49	19	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000758925
MGYG000303731	MAG	473338	101	4571	25.12	69.52	0	0	0	0	16	NA	NA	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Ureaplasma	Ureaplasma parvum
MGYG000303732	MAG	1140252	131	11284	43.07	91.53	1.61	0	0	0	16	NA	NA	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303733	MAG	3955387	304	21942	51.15	95.73	0.38	94.96	0	0	18	China	Asia	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
MGYG000303734	MAG	2670419	55	152511	37.57	99.63	0	0	0	0	19	NA	NA	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
MGYG000303735	MAG	5335075	24	400112	57.41	100	0.11	95.8	0	99.86	19	China	Asia	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
MGYG000303736	MAG	1419910	294	5123	52.54	72.57	0	0	0	0	19	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas uenonis
MGYG000303737	MAG	1696336	289	6673	39.09	79.24	0.59	0	0	0	13	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella disiens
MGYG000303738	MAG	2061982	176	16355	39.17	97.8	0.18	93.28	78.93	99.49	19	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bivia
MGYG000303739	MAG	1764249	74	58423	29.93	97.9	0	0	0	0	15	NA	NA	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacrimalis
MGYG000303740	MAG	2702153	116	34991	42.21	98.45	0.12	0	0	0	18	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000303741	MAG	1734842	72	38666	34.62	97.9	0	0	0	0	10	NA	NA	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus vaginalis
MGYG000303742	MAG	2393101	57	79899	55.09	99.53	1.42	0	46.97	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus mulieris
MGYG000303743	MAG	2134758	108	30941	49.73	96.94	0.34	0	27.92	0	17	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000758925
MGYG000303744	MAG	677417	39	31959	42.97	51.75	0	0	0	0	11	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303745	MAG	1367007	160	11156	39.24	92.13	0	0	0	0	19	NA	NA	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000303746	MAG	1287573	65	42865	26.74	97.17	0.16	0	0	0	11	NA	NA	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia sanguinegens
MGYG000303747	MAG	1762240	84	38960	30.78	91.93	0	0	0	0	18	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303748	MAG	2404577	86	40192	48.36	97.5	0.36	0	0	0	19	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303749	MAG	1504372	30	139157	31.3	76.21	0	0	0	0	19	NA	NA	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	UBA629	UBA629 sp005465875
MGYG000303750	MAG	1916178	55	47515	35.35	99.66	0	0	0	0	19	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella amnii
MGYG000303751	MAG	1769598	55	45143	34.86	99.39	0	0	0	0	12	NA	NA	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus tetradius
MGYG000303752	MAG	1615372	70	36036	44.76	92.32	1.6	0	0	0	20	China	Asia	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	Mageeibacillus	Mageeibacillus indolicus
MGYG000303753	MAG	1684954	236	8251	49.59	90.05	0.31	0	0	0	16	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
MGYG000303754	MAG	1271097	61	38596	44.39	83.24	0.45	0	0	0	19	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000303755	MAG	1468439	44	64566	37.94	94.35	0.45	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303756	MAG	1145494	244	4997	53.47	67.65	1.38	0	0	0	13	China	Asia	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	Stomatobaculum sp002892395
MGYG000303757	MAG	2384287	58	56354	46.21	97.14	0	0	0	0	16	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000479005
MGYG000303758	MAG	1485849	44	55995	39.02	97.71	0	0	0	0	19	NA	NA	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii
MGYG000303759	MAG	1281659	113	15267	49.98	93.03	0	0	0	0	16	NA	NA	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303760	MAG	626791	19	65570	45.5	62.11	0	0	99.74	0	20	NA	NA	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000303761	MAG	1601748	33	94874	45.45	99.45	0.34	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303762	MAG	1273293	18	108494	28.21	98.88	0	0	0	0	17	NA	NA	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000303763	MAG	1402716	66	30734	25.49	96.19	0.09	0	0	0	17	NA	NA	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas sp001552895
MGYG000303764	MAG	1351164	132	15315	39.25	93.9	1.39	0	0	0	11	NA	NA	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000303765	MAG	1593182	17	257686	41.87	100	0.09	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium swidsinskii
MGYG000303766	MAG	1458251	102	22092	50.51	97.87	0	0	0	10.94	19	NA	NA	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	NA
MGYG000303767	MAG	1021290	35	48454	39.49	59.07	0.91	0	0	0	13	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303768	MAG	1540134	29	159206	42.78	100	0	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303769	MAG	1580523	87	31580	40.97	94.1	0.06	95.8	97.98	99.76	20	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303770	MAG	1582474	78	40089	42.74	91.92	4.96	0	0	0	19	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303771	MAG	1540687	11	261443	46.68	98.99	0	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp001552935
MGYG000303772	MAG	1857344	267	8176	46.64	84.96	1.28	0	0	0	12	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000479005
MGYG000303773	MAG	2348310	232	14078	55.11	95.18	2.33	0	0	0	19	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus mulieris
MGYG000303774	MAG	1213470	21	86591	32.41	99.63	0.44	0	0	0	17	NA	NA	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
MGYG000303775	MAG	1242955	76	23718	34.99	98.36	0.66	0	0	0	17	NA	NA	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister micraerophilus
MGYG000303776	MAG	694614	19	102551	26.77	98.5	0.38	0	0	0	20	NA	NA	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Metamycoplasma	Metamycoplasma hominis
MGYG000303777	MAG	1414586	27	95685	43.42	94.24	0.45	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303778	MAG	1199677	108	17441	43.56	78.66	3.52	0	0	0	18	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303779	MAG	1891351	150	18581	36.66	92.53	0.17	0	0	0	15	NA	NA	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
MGYG000303780	MAG	1927847	198	13635	37.52	90.61	0.83	0	0	0	10	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303781	MAG	1016112	77	25287	42.25	71.51	0	0	0	0	18	NA	NA	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000303782	MAG	1366566	42	62958	49.22	98.66	0.81	0	0	0	19	NA	NA	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303783	MAG	1375148	65	27859	38.66	100	0	0	0	0	19	NA	NA	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera hutchinsoni
MGYG000303784	MAG	1517767	29	141569	42.7	99.6	0	0	0	0	20	NA	NA	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303785	MAG	1739563	30	106415	46.03	100	0	0	0	0	20	NA	NA	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera lornae
MGYG000303786	MAG	1221403	118	17408	36.22	61.12	0.34	0	0	0	19	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella amnii
MGYG000303787	MAG	1481911	17	199340	56.2	97.41	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium sp000758825
MGYG000303788	MAG	1713691	43	65197	34.32	98.83	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
MGYG000303789	MAG	1290704	19	125190	26.77	95.03	0.55	0	0	0	13	USA	North America	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella asaccharolytica
MGYG000303790	MAG	2294698	35	116826	55.2	99.53	1.42	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus mulieris
MGYG000303791	MAG	1755896	30	103956	34.83	100	0	0	0	0	13	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus tetradius
MGYG000303792	MAG	687316	26	66330	25.3	98.33	0.24	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Ureaplasma	Ureaplasma parvum
MGYG000303793	MAG	1324860	180	8726	42.4	93.34	0.72	0	0	0	10	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp900541485
MGYG000303794	MAG	1524498	19	251658	42.87	98.94	0.15	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303795	MAG	2035398	83	31704	52.92	99.76	0	0	0	0	20	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas uenonis
MGYG000303796	MAG	1279521	27	97509	26.61	98.88	0	0	0	0	13	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia sanguinegens
MGYG000303797	MAG	1322520	47	46532	42.58	92.08	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000303798	MAG	1414294	78	36507	49.48	99.19	0	0	0	0	18	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303799	MAG	1637147	323	5583	53.36	67.79	1.44	0	0	0	14	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
MGYG000303800	MAG	2655105	43	115542	63.68	99.78	0.66	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium phoceense
MGYG000303801	MAG	1461794	12	366488	42.34	87.83	0	0	0	0	20	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp902373515
MGYG000303802	MAG	1384393	39	46051	34.07	77.28	2.33	0	0	0	9	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
MGYG000303803	MAG	2393132	69	64930	39.12	98.31	0.45	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella disiens
MGYG000303804	MAG	1494401	72	45783	43.65	94.59	3.67	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000303805	MAG	1442482	18	108868	48.88	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303806	MAG	1187859	234	5302	49.8	80.29	0.27	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	NA
MGYG000303807	MAG	1651260	259	6749	55.58	77.69	1.66	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii
MGYG000303808	MAG	1760189	24	157804	60.88	99.19	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp900604965
MGYG000303809	MAG	1389594	22	157802	51.72	100	0.81	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium deltae
MGYG000303810	MAG	718299	18	105035	47.63	63.68	0	0	0	0	20	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000303811	MAG	2216471	17	179821	59.54	99.49	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp943913645
MGYG000303812	MAG	2159623	130	25870	62.58	96.51	3.78	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Brevibacteriaceae	Brevibacterium	Brevibacterium ravenspurgense
MGYG000303813	MAG	2028815	47	84329	39.12	99.31	0	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bivia
MGYG000303814	MAG	1615346	199	10354	32.38	91.04	1.24	0	0	0	9	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium gonidiaformans
MGYG000303815	MAG	1649515	14	161634	46.45	100	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera lornae
MGYG000303816	MAG	1728080	22	102929	44.48	93.74	0.71	0	0	0	19	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	Mageeibacillus	Mageeibacillus indolicus
MGYG000303817	MAG	1383798	217	7770	51.71	78.66	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	DTU023	SFGY01	NA
MGYG000303818	MAG	1511878	97	27012	28.96	94.89	0.74	0	0	0	20	USA	North America	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter ureolyticus
MGYG000303819	MAG	1924190	105	31949	60.53	92.29	1.06	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Pseudoglutamicibacter	Pseudoglutamicibacter cumminsii
MGYG000303820	MAG	682504	140	5243	28.56	53.07	0	0	0	0	11	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000303821	MAG	1499000	32	136810	37.75	94.13	0.53	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303822	MAG	2109283	55	68260	39.45	99.36	0.14	0	0	0	16	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
MGYG000303823	MAG	1718363	106	22830	31.79	96.65	0.61	0	0	0	10	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
MGYG000303824	MAG	4908007	60	160540	50.68	99.97	0.48	0	0	0	18	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
MGYG000303825	MAG	1480331	39	50796	42.21	96.34	0.99	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000303826	MAG	1340378	49	45726	51.82	94.93	0	0	0	0	13	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	W5053	NA
MGYG000303827	MAG	1509703	23	156237	43.27	99.24	1.86	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303828	MAG	2588661	39	150054	46.8	99.15	0.34	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella colorans
MGYG000303829	MAG	1164790	127	12705	50.01	92.99	0	0	0	0	14	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Levyella	Levyella massiliensis
MGYG000303830	MAG	1734492	24	169903	31.03	76.21	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	UBA629	UBA629 sp005465875
MGYG000303831	MAG	1395885	29	64716	39.19	96.75	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
