Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000303712	MAG	1589541	23	117641	42.65	99.09	0.15	0.00	0.00	0.00	20	CAMPLX01	MGYG000303994	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii	SAMEA111346184	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303994/genomes1/MGYG000303712.gff.gz
MGYG000303713	MAG	1644162	32	90198	41.71	100	0.0	0.00	99.61	99.21	20	CAMPLY01	MGYG000304136	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale	SAMEA111346185	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304136/genomes1/MGYG000303713.gff.gz
MGYG000303714	MAG	1685172	24	169641	46.56	98.19	0.0	0.00	0.00	0.00	20	CAMPLZ01	MGYG000303961	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella sp001552935	SAMEA111346194	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303961/genomes1/MGYG000303714.gff.gz
MGYG000303715	MAG	1334841	68	29644	28.24	98.23	0.0	0.00	0.00	0.00	18	CAMPMA01	MGYG000303840	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia vaginalis	SAMEA111346180	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303840/genomes1/MGYG000303715.gff.gz
MGYG000303716	MAG	1369418	35	101822	48.69	100	0.0	0.00	0.00	0.00	19	CAMPMB01	MGYG000304026	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea massiliensis	SAMEA111346181	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304026/genomes1/MGYG000303716.gff.gz
MGYG000303717	MAG	1658968	56	66171	45.44	97.79	0.0	0.00	99.67	66.94	20	CAMPMC01	MGYG000304028	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_H	SAMEA111346182	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304028/genomes1/MGYG000303717.gff.gz
MGYG000303718	MAG	1358907	49	54731	32.57	94.39	0.44	0.00	0.00	95.52	17	CAMPMD01	MGYG000304057	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	SAMEA111346187	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304057/genomes1/MGYG000303718.gff.gz
MGYG000303719	MAG	1462957	10	266156	42.62	100	0.0	93.28	99.67	99.49	20	CAMPME01	MGYG000304068	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae	SAMEA111346191	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304068/genomes1/MGYG000303719.gff.gz
MGYG000303720	MAG	1719298	284	6872	38.44	68.82	0.35	0.00	0.00	0.00	8	CAMPMF01	MGYG000303734	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	SAMEA111346189	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303734/genomes1/MGYG000303720.gff.gz
MGYG000303721	MAG	1489810	89	29098	39.28	97.7	0.0	93.28	0.00	71.52	20	CAMPMG01	MGYG000303966	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera hutchinsoni	SAMEA111346177	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303966/genomes1/MGYG000303721.gff.gz
MGYG000303722	MAG	2566982	46	161511	42.38	97.14	0.0	0.00	0.00	0.00	19	CAMPMH01	MGYG000303947	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	SAMEA111346195	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303947/genomes1/MGYG000303722.gff.gz
MGYG000303723	MAG	1508525	15	180471	43.17	95.3	0.61	0.00	0.00	0.00	19	CAMPMI01	MGYG000303794	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_E	SAMEA111346192	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303794/genomes1/MGYG000303723.gff.gz
MGYG000303724	MAG	886791	21	56305	38.96	51.55	0.0	0.00	0.00	0.00	17	CAMPMJ01	MGYG000304292	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_A	SAMEA111346179	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304292/genomes1/MGYG000303724.gff.gz
MGYG000303725	MAG	1072604	106	13967	39.9	81.04	0.29	0.00	0.00	0.00	11	CAMPMK01	MGYG000303995	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus christensenii	SAMEA111346197	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303995/genomes1/MGYG000303725.gff.gz
MGYG000303726	MAG	1623987	25	177317	40.44	98.59	0.0	0.00	0.00	0.00	20	CAMPML01	MGYG000303726	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_F	SAMEA111346129	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303726/genomes1/MGYG000303726.gff.gz
MGYG000303727	MAG	1586965	8	372980	41.95	100	0.09	0.00	0.00	0.00	20	CAMPMM01	MGYG000304218	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii	SAMEA111346183	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304218/genomes1/MGYG000303727.gff.gz
MGYG000303728	MAG	1587550	16	190674	42.18	100	2.27	0.00	0.00	0.00	20	CAMPMN01	MGYG000303994	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii	SAMEA111346133	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303994/genomes1/MGYG000303728.gff.gz
MGYG000303729	MAG	1588748	15	183304	46.63	100	0.0	0.00	0.00	0.00	20	CAMPMO01	MGYG000303976	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae	SAMEA111346196	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303976/genomes1/MGYG000303729.gff.gz
MGYG000303730	MAG	2290326	65	51647	49.45	97.96	0.34	94.96	0.00	99.49	19	CAMPMP01	MGYG000303862	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000758925	SAMEA111346144	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303862/genomes1/MGYG000303730.gff.gz
MGYG000303731	MAG	473338	101	4571	25.12	69.52	0.0	0.00	0.00	0.00	16	CAMPMQ01	MGYG000304078	d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__Ureaplasma parvum	SAMEA111346132	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304078/genomes1/MGYG000303731.gff.gz
MGYG000303732	MAG	1140252	131	11284	43.07	91.53	1.61	0.00	0.00	0.00	16	CAMPMR01	MGYG000304035	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__	SAMEA111346119	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304035/genomes1/MGYG000303732.gff.gz
MGYG000303733	MAG	3955387	304	21942	51.15	95.73	0.38	94.96	0.00	0.00	18	CAMPMS01	MGYG000303824	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	SAMEA111346190	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303824/genomes1/MGYG000303733.gff.gz
MGYG000303734	MAG	2670419	55	152511	37.57	99.63	0.0	0.00	0.00	0.00	19	CAMPMT01	MGYG000303734	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	SAMEA111346131	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303734/genomes1/MGYG000303734.gff.gz
MGYG000303735	MAG	5335075	24	400112	57.41	100	0.11	95.80	0.00	99.86	19	CAMPMU01	MGYG000303735	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	SAMEA111346188	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303735/genomes1/MGYG000303735.gff.gz
MGYG000303736	MAG	1419910	294	5123	52.54	72.57	0.0	0.00	0.00	0.00	19	CAMPMV01	MGYG000303795	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis_A	SAMEA111346193	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303795/genomes1/MGYG000303736.gff.gz
MGYG000303737	MAG	1696336	289	6673	39.09	79.24	0.59	0.00	0.00	0.00	13	CAMPMW01	MGYG000304208	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens	SAMEA111346138	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304208/genomes1/MGYG000303737.gff.gz
MGYG000303738	MAG	2061982	176	16355	39.17	97.8	0.18	93.28	78.93	99.49	19	CAMPMX01	MGYG000304237	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia	SAMEA111346136	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304237/genomes1/MGYG000303738.gff.gz
MGYG000303739	MAG	1764249	74	58423	29.93	97.9	0.0	0.00	0.00	0.00	15	CAMPMY01	MGYG000304019	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacrimalis	SAMEA111346113	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304019/genomes1/MGYG000303739.gff.gz
MGYG000303740	MAG	2702153	116	34991	42.21	98.45	0.12	0.00	0.00	0.00	18	CAMPMZ01	MGYG000303947	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	SAMEA111346162	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303947/genomes1/MGYG000303740.gff.gz
MGYG000303741	MAG	1734842	72	38666	34.62	97.9	0.0	0.00	0.00	0.00	10	CAMPNA01	MGYG000304008	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A vaginalis	SAMEA111346116	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304008/genomes1/MGYG000303741.gff.gz
MGYG000303742	MAG	2393101	57	79899	55.09	99.53	1.42	0.00	46.97	0.00	20	CAMPNB01	MGYG000304099	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus mulieris	SAMEA111346168	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304099/genomes1/MGYG000303742.gff.gz
MGYG000303743	MAG	2134758	108	30941	49.73	96.94	0.34	0.00	27.92	0.00	17	CAMPNC01	MGYG000303862	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000758925	SAMEA111346170	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303862/genomes1/MGYG000303743.gff.gz
MGYG000303744	MAG	677417	39	31959	42.97	51.75	0.0	0.00	0.00	0.00	11	CAMPND01	MGYG000304089	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_C	SAMEA111346124	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304089/genomes1/MGYG000303744.gff.gz
MGYG000303745	MAG	1367007	160	11156	39.24	92.13	0.0	0.00	0.00	0.00	19	CAMPNE01	MGYG000304222	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	SAMEA111346164	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304222/genomes1/MGYG000303745.gff.gz
MGYG000303746	MAG	1287573	65	42865	26.74	97.17	0.16	0.00	0.00	0.00	11	CAMPNF01	MGYG000304233	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia sanguinegens	SAMEA111346115	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304233/genomes1/MGYG000303746.gff.gz
MGYG000303747	MAG	1762240	84	38960	30.78	91.93	0.0	0.00	0.00	0.00	18	CAMPNG01	MGYG000303850	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111346121	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303850/genomes1/MGYG000303747.gff.gz
MGYG000303748	MAG	2404577	86	40192	48.36	97.5	0.36	0.00	0.00	0.00	19	CAMPNH01	MGYG000303847	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111346172	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303847/genomes1/MGYG000303748.gff.gz
MGYG000303749	MAG	1504372	30	139157	31.3	76.21	0.0	0.00	0.00	0.00	19	CAMPNI01	MGYG000303941	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875	SAMEA111346128	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303941/genomes1/MGYG000303749.gff.gz
MGYG000303750	MAG	1916178	55	47515	35.35	99.66	0.0	0.00	0.00	0.00	19	CAMPNJ01	MGYG000303750	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii	SAMEA111346153	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303750/genomes1/MGYG000303750.gff.gz
MGYG000303751	MAG	1769598	55	45143	34.86	99.39	0.0	0.00	0.00	0.00	12	CAMPNK01	MGYG000303791	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus tetradius	SAMEA111346117	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303791/genomes1/MGYG000303751.gff.gz
MGYG000303752	MAG	1615372	70	36036	44.76	92.32	1.6	0.00	0.00	0.00	20	CAMPNL01	MGYG000304079	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__Mageeibacillus;s__Mageeibacillus indolicus	SAMEA111346167	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304079/genomes1/MGYG000303752.gff.gz
MGYG000303753	MAG	1684954	236	8251	49.59	90.05	0.31	0.00	0.00	0.00	16	CAMPNM01	MGYG000303753	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	SAMEA111346171	ERP138504	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303753/genomes1/MGYG000303753.gff.gz
MGYG000303754	MAG	1271097	61	38596	44.39	83.24	0.45	0.00	0.00	0.00	19	CAMPNN01	MGYG000304231	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	SAMEA111346122	ERP138373	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304231/genomes1/MGYG000303754.gff.gz
